Survey_Year,School,Male_Undergraduates,Female_Undergraduates,Total_Undergraduates,Total_Participants,Operating_Expenses_per_Participant,Total_Operating_Expenses,Total_Revenues,Total_Expenses
2013,Auburn,8956,9022,17978,123,60397,7428815,49639256,49639256
2013,LSU,10920,11787,22707,120,28333,3399958,87867268,37857120
2013,Mississippi State,7805,7243,15048,134,25990,3482604,27140807,15302574
2013,Texas A&M,20552,18983,39535,128,31185,3991742,57723769,23725572
2013,Alabama,12160,14087,26247,130,53773,6990496,94990345,41720629
2013,Tennessee,9977,9708,19685,131,23794,3117009,70478510,21670088
2013,Arkansas,8990,9465,18455,122,39914,4869523,57057801,28074698
2013,Florida,13303,16751,30054,131,43809,5738986,69252865,23039283
2013,Georgia,10486,14168,24654,127,45184,5738421,77160814,27246515
2013,Kentucky,9582,10220,19802,127,17241,2189616,34084413,17213933
2013,Ole Miss,6917,8494,15411,123,43405,5338874,43992194,24166713
2013,Missouri,12052,13116,25168,128,47600,6092804,34058953,21416004
2013,South Carolina,10103,12305,22408,109,25638,2794537,55615454,26103039
2013,Vanderbilt,3384,3371,6755,108,26681,2881552,24975402,21504346
