Survey_Year,School,Male_Undergraduates,Female_Undergraduates,Total_Undergraduates,Total_Participants,Operating_Expenses_per_Participant,Total_Operating_Expenses,Total_Revenues,Total_Expenses
2017,Auburn,10584,10848,21432,110,51069,5617570,93562715,43605320
2017,LSU,10492,11457,21949,120,30563,3667555,86579944,31561996
2017,Mississippi State,8131,8220,16351,123,39920,4910136,29753690,23226169
2017,Texas A&M,24141,22451,46592,118,44079,5201338,82564175,48119071
2017,Alabama,13351,16471,29822,138,70301,9701496,111102134,62944472
2017,Tennessee,10448,10461,20909,126,38658,4870940,93890299,45343685
2017,Arkansas,9529,10870,20399,123,44542,5478663,67851084,44633637
2017,Florida,13411,17476,30887,129,69165,8922234,87985713,47342367
2017,Georgia,11605,15454,27059,131,66826,8754154,129023591,44909546
2017,Kentucky,9218,11393,20611,123,32057,3943010,40035938,27206659
2017,Ole Miss,7653,9708,17361,127,48176,6118412,51212053,30175051
2017,Missouri,10597,11534,22131,119,34690,4128103,31426691,23659474
2017,South Carolina,11221,13357,24578,116,35810,4153930,64415927,33317645
2017,Vanderbilt,3315,3476,6791,102,26712,2724632,30331584,23476754
